PUBUKPRN,UKPRN,REPORT_UKPRN,OVERALL_RATING,STUDENT_EXPERIENCE_RATING,STUDENT_OUTCOMES_RATING,OUTCOME_URL
10007138,10007138,10007138,Silver,Silver,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=f0a50464-4d89-ee11-be36-0022481b5c9c&finaloutcome=6936ad7f-9d53-ee11-be6f-0022481b5c8e
10007139,10007139,10007139,Silver,Silver,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=a8c588af-4989-ee11-be36-0022481b5c9c&finaloutcome=cc277240-9d53-ee11-be6f-0022481b5984
10007140,10007140,10007140,Silver,Gold,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=3536e966-2a98-ee11-be37-0022481b55ca&finaloutcome=ab6b4fbe-9d53-ee11-be6f-0022481b5c8e
10007141,10007141,10007141,Silver,Bronze,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=9f9327c1-2189-ee11-be36-0022481b55ca&finaloutcome=764df97f-9d53-ee11-be6f-0022481b538a
10007143,10007143,10007143,Silver,Silver,Gold,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=725171f9-3298-ee11-be37-0022481b538a&finaloutcome=d993c9a4-9d53-ee11-be6f-0022481b51dd
10007144,10007144,10007144,Silver,Bronze,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=9016f280-2a89-ee11-be36-0022481b574a&finaloutcome=27aa1082-9d53-ee11-be6f-0022481b55ca
10007145,10007145,10007145,Silver,Silver,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=daacfd34-2089-ee11-be36-0022481b5d22&finaloutcome=02c2e37b-9d53-ee11-be6f-0022481b5c9c
10007146,10007146,10007146,Gold,Gold,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=25cb415b-dcc4-ee11-9079-0022481b55ca&finaloutcome=5933fea3-9d53-ee11-be6f-0022481b5c9c
10007147,10007147,10007147,Silver,Silver,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=051dc9df-dec4-ee11-9079-0022481b5c9c&finaloutcome=1f63dea4-9d53-ee11-be6f-0022481b5210
10007148,10007148,10007148,Gold,Gold,Gold,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=4bc6837e-4589-ee11-be36-0022481b574a&finaloutcome=41346820-9d53-ee11-be6f-0022481b5c9c
10007149,10007149,10007149,Gold,Gold,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=784c2b3c-628f-ee11-be36-0022481b574a&finaloutcome=034f957e-9d53-ee11-be6f-0022481b51dd
10007150,10007150,10007150,Silver,Silver,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=f2ebe0b5-7588-ee11-be36-0022481b55ca&finaloutcome=dd6df822-9d53-ee11-be6f-0022481b538a
10007151,10007151,10007151,Gold,Gold,Gold,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=343291e7-dec4-ee11-9079-0022481b55ca&finaloutcome=616df822-9d53-ee11-be6f-0022481b538a
10007152,10007152,10007152,Bronze,Silver,Bronze,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=1ed3e7d3-dec4-ee11-9079-0022481b538a&finaloutcome=2263dea4-9d53-ee11-be6f-0022481b5210
10007154,10007154,10007154,Silver,Silver,Gold,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=1dfe0a81-8388-ee11-be36-0022481b5d22&finaloutcome=988854a1-9d53-ee11-be6f-0022481b55ca
10007155,10007155,10007155,Gold,Gold,Silver,https://tef2023.officeforstudents.org.uk/open-ancillary/?id=2369f995-618f-ee11-be36-0022481b5c9c&finaloutcome=4cb1a23e-9d53-ee11-be6f-0022481b5c9c
